DM	left_comp	right_comp	left_smiles	right_smiles
DM68	indicine n-oxide	indicine	C[C@@H]([C@](C(C)C)(C(=O)OCC1=CC[N+]2([C@H]1[C@@H](CC2)O)[O-])O)O	C[C@@H]([C@](C(C)C)(C(=O)OCC1=CCN2[C@H]1[C@@H](CC2)O)O)O
DM69	isosorbide dinitrate	isosorbide	C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-]	C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O)O
DM70	isoxanthohumol	8-prenylnaringenin	CC(=CCC1=C2C(=C(C=C1O)OC)C(=O)CC(O2)C3=CC=C(C=C3)O)C	CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C[C@H](O2)C3=CC=C(C=C3)O)C
DM71	levamisole	Levametabol I; levametabol II; levametabol III	C1CSC2=N[C@H](CN21)C3=CC=CC=C3	SCCN1C[C@H](C2=CC=CC=C2)N(O)C1=O.ON([C@@H](C3=CC=CC=C3)CN4CCSSCCN5C[C@H](C6=CC=CC=C6)N(O)C5=O)C4=O
DM72	loperamide oxide // NADPH	loperamide // NADP+	CN(C)C(=O)C(CC[N+]1(CCC(CC1)(C2=CC=C(C=C2)Cl)O)[O-])(C3=CC=CC=C3)C4=CC=CC=C4.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+]	CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.O
DM73	lovastatin	M1	CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C	O[C@H]1C[C@@H](C)C=C2[C@H]1[C@@H](CC[C@@H]3C[C@@H](O)CC(O3)=O)[C@@H](C)C=C2
DM74	lovastatin	M8	CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C	CC[C@@H](C(O[C@H]1C[C@@H](C)C=C2[C@H]1[C@@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H](C)C=C2)=O)C
DM75	methamphetamine // NADPH // O	amphetamine // NADP+ // water	C[C@@H](CC1=CC=CC=C1)NC.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+]	CC(CC1=CC=CC=C1)N.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.O
DM76	Methylprednisolone	reduction products	C[C@H]1C[C@H]2[C@@H]3CC[C@@](C(CO)=O)(O)[C@@]3(C)C[C@H](O)[C@@H]2[C@]4(C)C1=CC(C=C4)=O	C[C@H]1C[C@H]2[C@@H]3CC[C@@](C(CO)=O)(O)[C@@]3(C)C[C@H](O)[C@@H]2[C@]4(C)C1CC(C=C4)=O.C[C@H]5C[C@H]6[C@@H]7CC[C@@](C(CO)=O)(O)[C@@]7(C)C[C@H](O)[C@@H]6[C@]8(C)C5=CC(CC8)=O
DM77	Metronidazole	5-nitroso	CC1=NC=C(N1CCO)[N+](=O)[O-]	CC1=NC=C(N=C)N1CCO.[O]
